,data,date,type
116,21.0,1986-03-02,num_shows
117,65.63868453333335,1986-03-09,avg_ticket_price_cpi
118,53.1165,1986-03-09,pct_capacity
119,20.0,1986-03-09,num_shows
120,65.5912543111111,1986-03-16,avg_ticket_price_cpi
121,61.0765,1986-03-16,pct_capacity
122,20.0,1986-03-16,num_shows
123,66.38808204444447,1986-03-23,avg_ticket_price_cpi
124,59.5845,1986-03-23,pct_capacity
125,20.0,1986-03-23,num_shows
126,60.531743151515144,1986-03-30,avg_ticket_price_cpi
127,65.05772727272728,1986-03-30,pct_capacity
128,22.0,1986-03-30,num_shows
129,59.331220790723904,1986-04-06,avg_ticket_price_cpi
130,61.353181818181824,1986-04-06,pct_capacity
131,22.0,1986-04-06,num_shows
132,59.656171621673664,1986-04-13,avg_ticket_price_cpi
133,52.75652173913043,1986-04-13,pct_capacity
134,23.0,1986-04-13,num_shows
135,61.572221452612936,1986-04-20,avg_ticket_price_cpi
136,52.9036,1986-04-20,pct_capacity
137,25.0,1986-04-20,num_shows
138,61.114107097469876,1986-04-27,avg_ticket_price_cpi
139,60.98826086956522,1986-04-27,pct_capacity
140,23.0,1986-04-27,num_shows
141,60.71689629384026,1986-05-04,avg_ticket_price_cpi
142,61.374583333333334,1986-05-04,pct_capacity
143,24.0,1986-05-04,num_shows
144,60.36207388373122,1986-05-11,avg_ticket_price_cpi
145,63.406249999999986,1986-05-11,pct_capacity
146,24.0,1986-05-11,num_shows
147,63.24613405272888,1986-05-18,avg_ticket_price_cpi
148,72.64045454545456,1986-05-18,pct_capacity
149,22.0,1986-05-18,num_shows
150,64.13459292661364,1986-05-25,avg_ticket_price_cpi
151,75.43799999999999,1986-05-25,pct_capacity
152,20.0,1986-05-25,num_shows
153,62.52272597001763,1986-06-01,avg_ticket_price_cpi
154,62.24049999999999,1986-06-01,pct_capacity
155,20.0,1986-06-01,num_shows
156,63.604963183421525,1986-06-08,avg_ticket_price_cpi
157,70.91050000000001,1986-06-08,pct_capacity
158,20.0,1986-06-08,num_shows
159,62.02308899563723,1986-06-15,avg_ticket_price_cpi
160,72.72684210526317,1986-06-15,pct_capacity
161,19.0,1986-06-15,num_shows
162,58.413921642731154,1986-06-22,avg_ticket_price_cpi
163,69.54333333333334,1986-06-22,pct_capacity
164,21.0,1986-06-22,num_shows
165,59.36844142101285,1986-06-29,avg_ticket_price_cpi
166,72.38,1986-06-29,pct_capacity
167,21.0,1986-06-29,num_shows
168,64.27774557703574,1986-07-06,avg_ticket_price_cpi
169,72.00400000000002,1986-07-06,pct_capacity
170,15.0,1986-07-06,num_shows
171,62.87109355594611,1986-07-13,avg_ticket_price_cpi
172,81.30466666666666,1986-07-13,pct_capacity
173,15.0,1986-07-13,num_shows
174,61.022322989894555,1986-07-20,avg_ticket_price_cpi
175,86.81687500000001,1986-07-20,pct_capacity
176,16.0,1986-07-20,num_shows
177,63.8316622040732,1986-07-27,avg_ticket_price_cpi
178,80.69882352941178,1986-07-27,pct_capacity
179,17.0,1986-07-27,num_shows
180,59.090497956800945,1986-08-03,avg_ticket_price_cpi
181,80.7222222222222,1986-08-03,pct_capacity
182,18.0,1986-08-03,num_shows
183,60.991023988386026,1986-08-10,avg_ticket_price_cpi
184,83.64894736842106,1986-08-10,pct_capacity
185,19.0,1986-08-10,num_shows
186,62.95302918855808,1986-08-17,avg_ticket_price_cpi
187,85.96666666666665,1986-08-17,pct_capacity
188,18.0,1986-08-17,num_shows
189,68.80994464927642,1986-08-24,avg_ticket_price_cpi
190,83.21315789473684,1986-08-24,pct_capacity
191,19.0,1986-08-24,num_shows
192,71.9318568301226,1986-08-31,avg_ticket_price_cpi
193,82.75333333333333,1986-08-31,pct_capacity
194,18.0,1986-08-31,num_shows
195,71.31735066414582,1986-09-07,avg_ticket_price_cpi
196,62.47722222222221,1986-09-07,pct_capacity
197,18.0,1986-09-07,num_shows
198,72.00412662400623,1986-09-14,avg_ticket_price_cpi
199,71.68666666666667,1986-09-14,pct_capacity
200,18.0,1986-09-14,num_shows
201,70.09403311288693,1986-09-21,avg_ticket_price_cpi
202,76.41105263157894,1986-09-21,pct_capacity
203,19.0,1986-09-21,num_shows
204,71.56826316172194,1986-09-28,avg_ticket_price_cpi
205,74.35111111111112,1986-09-28,pct_capacity
206,18.0,1986-09-28,num_shows
207,69.51878603864735,1986-10-05,avg_ticket_price_cpi
208,68.33166666666668,1986-10-05,pct_capacity
209,18.0,1986-10-05,num_shows
210,67.77569823798628,1986-10-12,avg_ticket_price_cpi
211,70.75157894736842,1986-10-12,pct_capacity
212,19.0,1986-10-12,num_shows
213,59.2472706004141,1986-10-19,avg_ticket_price_cpi
214,62.77714285714286,1986-10-19,pct_capacity
215,21.0,1986-10-19,num_shows
216,62.50207075514873,1986-10-26,avg_ticket_price_cpi
217,66.24052631578947,1986-10-26,pct_capacity
218,19.0,1986-10-26,num_shows
219,62.9424861954322,1986-11-02,avg_ticket_price_cpi
220,62.06166666666666,1986-11-02,pct_capacity
221,18.0,1986-11-02,num_shows
222,61.8803156297074,1986-11-09,avg_ticket_price_cpi
223,71.70368421052633,1986-11-09,pct_capacity
224,19.0,1986-11-09,num_shows
225,60.177757497603494,1986-11-16,avg_ticket_price_cpi
226,71.96947368421051,1986-11-16,pct_capacity
227,19.0,1986-11-16,num_shows
228,60.13878620988724,1986-11-23,avg_ticket_price_cpi
229,66.07947368421053,1986-11-23,pct_capacity
230,19.0,1986-11-23,num_shows
231,65.87730832610582,1986-11-30,avg_ticket_price_cpi
232,69.8325,1986-11-30,pct_capacity
233,20.0,1986-11-30,num_shows
234,62.170377390274986,1986-12-07,avg_ticket_price_cpi
235,67.83684210526314,1986-12-07,pct_capacity
236,19.0,1986-12-07,num_shows
237,62.819023037698045,1986-12-14,avg_ticket_price_cpi
238,68.62210526315788,1986-12-14,pct_capacity
239,19.0,1986-12-14,num_shows
240,59.33996230536333,1986-12-21,avg_ticket_price_cpi
241,57.617999999999995,1986-12-21,pct_capacity
242,20.0,1986-12-21,num_shows
243,63.74881472161055,1986-12-28,avg_ticket_price_cpi
244,70.52454545454547,1986-12-28,pct_capacity
245,22.0,1986-12-28,num_shows
246,64.3277504314064,1987-01-04,avg_ticket_price_cpi
247,74.67999999999999,1987-01-04,pct_capacity
248,22.0,1987-01-04,num_shows
249,61.580565187775306,1987-01-11,avg_ticket_price_cpi
250,63.05684210526316,1987-01-11,pct_capacity
251,19.0,1987-01-11,num_shows
252,65.27086933461909,1987-01-18,avg_ticket_price_cpi
253,68.04058823529412,1987-01-18,pct_capacity
254,17.0,1987-01-18,num_shows
255,63.702841064812475,1987-01-25,avg_ticket_price_cpi
256,58.681176470588234,1987-01-25,pct_capacity
257,17.0,1987-01-25,num_shows
258,65.60671581863167,1987-02-01,avg_ticket_price_cpi
259,54.864999999999995,1987-02-01,pct_capacity
260,16.0,1987-02-01,num_shows
261,62.371468538017616,1987-02-08,avg_ticket_price_cpi
262,56.964117647058835,1987-02-08,pct_capacity
263,17.0,1987-02-08,num_shows
264,60.28566428118489,1987-02-15,avg_ticket_price_cpi
