,show,theatre,weekly_gross,avg_ticket_price,pct_capacity,avg_ticket_price_cpi,weekly_gross_cpi,cpi,performances,days_diff
31,A Doll's House,Belasco Theatre,282433.73913043475,44.68304347826087,0.8914608695652173,70.37211217642493,444766.30569560634,169.3739130434783,6.521739130434782,0.0
32,"A Doll's House, Part 2",John Golden Theatre,319409.0580769231,62.37769230769232,0.8164730769230769,66.03887295807348,338220.6724697062,251.91669230769227,6.615384615384615,0.0
33,A Few Good Men,Music Box Theatre,118910.89230769231,23.665692307692307,0.6400784615384616,46.75670876702104,234778.67629622112,135.1984615384617,7.6461538461538465,0.0
34,A Free Man of Color,Vivian Beaumont Theater,235626.41666666666,49.8725,0.6234000000000001,59.86134202845077,282801.6327650212,222.2695,5.083333333333333,0.0
35,A Funny Thing Happened on the Way to the Forum,St. James Theatre,519747.7021276596,51.99308510638297,0.7623734042553194,82.67537737516652,827068.9042937459,168.00957446808513,7.6063829787234045,0.0
36,A Gentleman's Guide to Love and Murder,Walter Kerr Theatre,631125.430862069,96.93663793103448,0.8852379310344827,107.88944116790935,702425.9196287972,239.78731034482757,7.741379310344827,0.0
37,A Grand Night for Singing,Criterion Center Stage Right,89975.75,27.242499999999996,0.8471000000000001,47.211160603171066,155950.46187418269,153.95833333333331,4.333333333333333,0.0
38,A Life in the Theatre,Gerald Schoenfeld Theatre,258374.5,57.937,0.53421,69.6428820569649,310621.4666510421,221.94569999999993,5.6,0.0
39,A Little Hotel on the Side,Belasco Theatre,168351.7142857143,24.164285714285715,0.8689285714285715,44.342523241833,308933.49765243847,145.38571428571427,5.857142857142857,0.0
40,A Little Like Magic,Lyceum Theatre,33125.0,12.7725,0.0,29.566535917283094,76663.83474929219,115.26249999999999,6.125,0.0
41,A Little More Magic,Belasco Theatre,53333.333333333336,20.44333333333333,0.3532333333333333,35.106607822428536,91578.90388136504,155.36666666666667,6.333333333333333,0.0
42,A Little Night Music,Walter Kerr Theatre,689404.7678571428,103.69017857142862,0.8901464285714286,125.0271324738312,831383.5784117484,221.33803571428575,7.589285714285714,0.0
43,A Man for All Seasons,American Airlines Theatre,258014.0,55.90357142857142,0.8537142857142858,68.77927839022944,317434.48253787676,216.84828571428577,5.214285714285714,0.0
44,A Midsummer Night's Dream,Lunt-Fontanne Theatre,273125.4,40.54,0.6046699999999999,65.66328416722112,442397.2153678642,164.72,6.5,0.0
45,A Mom's Life,Belasco Theatre,3874.3333333333335,25.55666666666666,0.14743333333333333,39.03244932412928,5915.26834696184,174.66666666666666,1.0,0.0
46,A Month in the Country,Criterion Center Stage Right,140737.1,36.76199999999999,0.9736300000000002,61.03986870683842,233682.70677892948,160.66,5.5,0.0
47,A Month of Sundays,Ritz Theatre,44140.333333333336,16.95,0.3601666666666666,38.55221867007673,100395.73940039786,117.3,1.3333333333333333,0.0
48,A Moon for the Misbegotten,Brooks Atkinson Theatre,537508.0,75.56,0.9071181818181819,96.01024958021502,682956.2113179929,209.9773636363636,6.454545454545454,0.0
49,A Moon for the Misbegotten,Walter Kerr Theatre,314951.70588235295,52.19764705882352,0.8117882352941176,77.10630787014941,465212.41812729544,180.59999999999997,7.0588235294117645,0.0
50,A Naked Girl on the Appian Way,American Airlines Theatre,256878.41666666666,53.15916666666666,0.8163083333333332,70.1685224922386,339070.9228222301,202.11666666666667,5.75,0.0
